"","TimePeriod","position","water_year","Node","Season","TimePercentage","Species","Life_Stage","Hydraulic","bottom_type","Suitability_Class"
"1","critical","LOB",2010,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"2","critical","LOB",2011,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"3","critical","LOB",2012,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"4","critical","LOB",2013,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"5","critical","LOB",2014,"11101250","Seasonal",98.2704402515723,"Steelhead","Migration","Velocity","Soft","High"
"6","critical","LOB",2015,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"7","critical","LOB",2016,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"8","critical","MC",2010,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"9","critical","MC",2011,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"10","critical","MC",2012,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"11","critical","MC",2013,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"12","critical","MC",2014,"11101250","Seasonal",98.2704402515723,"Steelhead","Migration","Velocity","Soft","High"
"13","critical","MC",2015,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"14","critical","MC",2016,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"15","critical","ROB",2010,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"16","critical","ROB",2011,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"17","critical","ROB",2012,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"18","critical","ROB",2013,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"19","critical","ROB",2014,"11101250","Seasonal",98.2704402515723,"Steelhead","Migration","Velocity","Soft","High"
"20","critical","ROB",2015,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"21","critical","ROB",2016,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","High"
"22","critical","LOB",2010,"F300","Seasonal",98.7617924528302,"Steelhead","Migration","Velocity","Soft","High"
"23","critical","LOB",2011,"F300","Seasonal",99.6283255086072,"Steelhead","Migration","Velocity","Soft","High"
"24","critical","LOB",2012,"F300","Seasonal",99.8820754716981,"Steelhead","Migration","Velocity","Soft","High"
"25","critical","LOB",2013,"F300","Seasonal",99.7641509433962,"Steelhead","Migration","Velocity","Soft","High"
"26","critical","LOB",2014,"F300","Seasonal",99.8034591194968,"Steelhead","Migration","Velocity","Soft","High"
"27","critical","LOB",2015,"F300","Seasonal",99.6674491392801,"Steelhead","Migration","Velocity","Soft","High"
"28","critical","LOB",2016,"F300","Seasonal",99.2924528301887,"Steelhead","Migration","Velocity","Soft","High"
"29","critical","MC",2010,"F300","Seasonal",96.875,"Steelhead","Migration","Velocity","Soft","High"
"30","critical","MC",2011,"F300","Seasonal",99.0610328638498,"Steelhead","Migration","Velocity","Soft","High"
"31","critical","MC",2012,"F300","Seasonal",99.5479559748428,"Steelhead","Migration","Velocity","Soft","High"
"32","critical","MC",2013,"F300","Seasonal",99.5086477987421,"Steelhead","Migration","Velocity","Soft","High"
"33","critical","MC",2014,"F300","Seasonal",99.312106918239,"Steelhead","Migration","Velocity","Soft","High"
"34","critical","MC",2015,"F300","Seasonal",99.3544600938967,"Steelhead","Migration","Velocity","Soft","High"
"35","critical","MC",2016,"F300","Seasonal",98.1721698113208,"Steelhead","Migration","Velocity","Soft","High"
"36","critical","ROB",2010,"F300","Seasonal",98.7617924528302,"Steelhead","Migration","Velocity","Soft","High"
"37","critical","ROB",2011,"F300","Seasonal",99.6283255086072,"Steelhead","Migration","Velocity","Soft","High"
"38","critical","ROB",2012,"F300","Seasonal",99.8820754716981,"Steelhead","Migration","Velocity","Soft","High"
"39","critical","ROB",2013,"F300","Seasonal",99.7641509433962,"Steelhead","Migration","Velocity","Soft","High"
"40","critical","ROB",2014,"F300","Seasonal",99.8034591194968,"Steelhead","Migration","Velocity","Soft","High"
"41","critical","ROB",2015,"F300","Seasonal",99.6674491392801,"Steelhead","Migration","Velocity","Soft","High"
"42","critical","ROB",2016,"F300","Seasonal",99.2924528301887,"Steelhead","Migration","Velocity","Soft","High"
"43","critical","MC",2010,"F319","Seasonal",99.7051886792453,"Steelhead","Migration","Velocity","Concrete","High"
"44","critical","MC",2011,"F319","Seasonal",99.9804381846635,"Steelhead","Migration","Velocity","Concrete","High"
"45","critical","MC",2012,"F319","Seasonal",100,"Steelhead","Migration","Velocity","Concrete","High"
