"","Node","Cladophora_Adult","Willow_Seedling","SAS_Adult","Typha_Adult","Santa Ana Sucker_Juvenile","Typha_Seedling"
"1","11101250","Low","High","Partial","High","Partial","Low"
"2","F300","High","Partial","Partial","Partial","Partial","Partial"
"3","F319","Partial","High","Partial","Partial","High","Partial"
"4","F34D","High","High","Partial","Partial","High","Partial"
"5","F37B_High","Low","High","Low","Low",NA,"Low"
"6","F37B_Low","Low","High","Low","Low",NA,"Partial"
"7","F45B","Low","High","Low","Low","Low","Low"
"8","F57C","High","High","Partial","Partial","Partial","Partial"
"9","GLEN","Partial","High","Partial","Partial","High","Partial"
"10","LA1","Low","High","Partial","Partial","Partial","Partial"
"11","LA11","High","High","Partial","Low","Partial","Partial"
"12","LA13","Low","High","Partial","Partial","Partial","Partial"
"13","LA14","High","High","Partial","Partial","Partial","Partial"
"14","LA2","Low","High","Partial","Partial","Partial","Low"
"15","LA20_2","High","High","Partial","Partial",NA,"Partial"
"16","LA20","Low","Partial","Partial","Partial","Partial","Partial"
"17","LA3","Low","High","Partial","Partial","Partial","Partial"
"18","LA8","High","High","Partial","Partial","High","Partial"
"19","F37BHigh",NA,NA,NA,NA,"Low",NA
"20","F37BLow",NA,NA,NA,NA,"Low",NA
"21","LA202",NA,NA,NA,NA,"High",NA
